"                   ","Residential"," ","Commercial"," ","Industrial"," ","Total"," ","Residential"," ","Commercial"," ","Industrial"," "
"State                   ","Volume"," ","Volume"," ","Volume"," ","Delivered"," ","Price"," ","Price"," ","Price"," "
"Alabama","2.2","  ","1.2","  ","1.9","  ","1.5","  ","0.19","  ","0.00","NA","0.11","  ",
"Alaska","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"Arizona","4.0","  ","3.0","  ","2.1","  ","1.9","  ","1.09","  ","0.48","  ","0.08","  ",
"Arkansas","8.7","  ","1.5","  ","3.0","  ","2.1","  ","0.24","  ","0.00","NA","0.46","  ",
"California","1.5","  ","1.2","  ","0.5","  ","0.6","  ","0.64","  ","0.23","  ","0.08","  ",
"Colorado","1.8","  ","1.5","  ","1.0","  ","1.0","  ","0.05","  ","0.07","  ","0.07","  ",
"Connecticut","0.2","  ","0.5","  ","0.8","  ","0.3","  ","0.17","  ","0.09","  ","0.01","  ",
"Delaware","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","NA",
"District of Columbia","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","NA","0.00","NA","0.00","  ",
"Florida","1.1","  ","0.7","  ","0.0","NA","0.0","NA","0.21","  ","0.21","  ","0.09","  ",
"Georgia","0.0","  ","0.0","  ","1.7","  ","0.0","  ","0.00","  ","0.05","  ","0.21","  ",
"Hawaii","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"Idaho","0.3","  ","0.1","  ","0.0","  ","0.1","  ","0.01","  ","0.01","  ","0.00","NA",
"Illinois","0.4","  ","0.6","  ","1.7","  ","0.6","  ","0.05","  ","0.11","  ","0.13","  ",
"Indiana","0.8","  ","0.9","  ","0.9","  ","0.6","  ","0.22","  ","0.22","  ","0.68","  ",
"Iowa","1.9","  ","1.0","  ","0.0","NA","0.0","NA","0.20","  ","0.14","  ","0.23","  ",
"Kansas","2.7","  ","1.2","  ","2.2","  ","1.5","  ","0.00","  ","0.21","  ","0.56","  ",
"Kentucky","2.1","  ","1.1","  ","0.7","  ","0.7","  ","0.25","  ","0.18","  ","0.17","  ",
"Louisiana","3.3","  ","1.7","  ","1.3","  ","0.0","NA","0.37","  ","0.25","  ","0.00","NA",
"Maine","0.0","  ","0.0","  ","5.7","  ","3.3","  ","0.00","  ","0.00","  ","0.00","  ",
"Maryland","0.6","  ","1.2","  ","2.4","  ","0.7","  ","0.09","  ","0.11","  ","0.30","  ",
"Massachusetts","0.8","  ","0.7","  ","1.9","  ","0.6","  ","0.08","  ","0.15","  ","0.16","  ",
"Michigan","0.7","  ","0.6","  ","1.3","  ","0.5","  ","0.09","  ","0.07","  ","0.06","  ",
"Minnesota","0.5","  ","0.7","  ","1.3","  ","0.6","  ","0.01","  ","0.02","  ","0.09","  ",
"Mississippi","4.9","  ","3.3","  ","1.2","  ","1.1","  ","0.71","  ","0.00","NA","0.11","  ",
"Missouri","0.8","  ","0.6","  ","2.4","  ","0.8","  ","0.22","  ","0.09","  ","0.19","  ",
"Montana","1.0","  ","0.6","  ","9.1","  ","3.6","  ","0.02","  ","0.02","  ","0.00","  ",
"Nebraska","3.2","  ","2.2","  ","0.8","  ","0.9","  ","0.12","  ","0.11","  ","0.38","  ",
"Nevada","0.0","  ","0.0","  ","9.9","  ","2.2","  ","0.00","  ","0.00","  ","0.12","  ",
"New Hampshire","0.0","  ","0.0","  ","5.4","  ","1.6","  ","0.00","  ","0.00","  ","0.00","  ",
"New Jersey","0.0","  ","0.0","  ","0.0","NA","0.0","NA","0.00","  ","0.00","  ","0.10","  ",
"New Mexico","2.3","  ","0.7","  ","4.6","  ","1.3","  ","0.12","  ","0.12","  ","0.74","  ",
"New York","0.0","  ","0.0","  ","1.0","  ","0.0","  ","0.03","  ","0.07","  ","0.21","  ",
"North Carolina","0.7","  ","0.4","  ","0.4","  ","0.3","  ","0.03","  ","0.00","NA","0.05","  ",
"North Dakota","1.6","  ","2.0","  ","7.3","  ","4.5","  ","0.03","  ","0.05","  ","0.00","  ",
"Ohio","0.0","  ","0.0","  ","0.8","  ","0.0","  ","0.09","  ","0.04","  ","0.23","  ",
"Oklahoma","4.5","  ","2.1","  ","1.2","  ","1.2","  ","0.15","  ","0.00","NA","0.41","  ",
"Oregon","0.0","  ","0.0","  ","1.2","  ","0.5","  ","0.00","NA","0.00","NA","0.00","  ",
"Pennsylvania","1.2","  ","1.2","  ","5.1","  ","1.8","  ","0.16","  ","0.17","  ","0.30","  ",
"Rhode Island","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"South Carolina","3.3","  ","1.2","  ","1.4","  ","1.1","  ","0.47","  ","0.17","  ","0.08","  ",
"South Dakota","3.4","  ","1.7","  ","0.9","  ","0.9","  ","0.28","  ","0.08","  ","0.13","  ",
"Tennessee","1.7","  ","0.8","  ","1.4","  ","0.9","  ","0.18","  ","0.09","  ","0.08","  ",
"Texas","4.0","  ","2.0","  ","0.0","NA","0.0","NA","1.06","  ","0.00","NA","0.02","  ",
"Utah","0.4","  ","0.1","  ","0.1","  ","0.2","  ","0.00","NA","0.00","NA","0.01","  ",
"Vermont","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"Virginia","3.4","  ","2.0","  ","3.9","  ","1.8","  ","0.25","  ","0.00","NA","0.17","  ",
"Washington","0.6","  ","0.3","  ","2.2","  ","0.8","  ","0.01","  ","0.03","  ","0.07","  ",
"West Virginia","1.6","  ","0.6","  ","2.0","  ","1.0","  ","0.04","  ","0.04","  ","0.43","  ",
"Wisconsin","0.8","  ","0.5","  ","0.4","  ","0.4","  ","0.02","  ","0.02","  ","0.02","  ",
"Wyoming","1.0","  ","0.8","  ","1.8","  ","1.2","  ","0.14","  ","0.00","NA","0.00","NA",
" Total","0.3","  ","0.2","  ","0.3","  ","0.2","  ","0.06","  ","0.02","  ","0.06","  ",
