"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","278,279","– –","– –","119,020","-160,623","-10,499","3,334","219,787","3,056","0","19,746"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","124,119","-123","4,588","3,912","-108,299","– –","381","7,170","2,695","13,951","3,617"
"Pentanes Plus","20,869","-123","– –","–","-16,493","– –","14","2,052","1,916","271","305"
"Liquefied Petroleum Gases","103,250","– –","4,588","3,912","-91,806","– –","367","5,118","778","13,681","3,312"
"Ethane/Ethylene","29,461","– –","–","–","-27,855","– –","-86","–","–","1,692","432"
"Propane/Propylene","46,828","– –","3,349","3,694","-40,088","– –","156","–","180","13,447","1,520"
"Normal Butane/Butylene","19,054","– –","1,258","23","-14,614","– –","236","2,548","571","2,366","1,025"
"Isobutane/Isobutylene","7,907","– –","-19","195","-9,249","– –","61","2,570","27","-3,824","335"
"Other Liquids","– –","5,244","– –","547","3,055","-1,339","327","5,628","309","1,242","9,289"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","5,244","– –","29","3,997","4,379","-33","13,435","246","0","351"
"Hydrogen","– –","– –","– –","–","–","2,293","– –","2,293","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","5,244","– –","29","3,997","2,085","-33","11,142","246","0","351"
"Fuel Ethanol","– –","5,242","– –","–","3,623","1,680","-37","10,563","19","0","338"
"Renewable Fuels Except Fuel Ethanol","– –","2","– –","29","374","405","4","579","227","0","13"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","–","–","– –","291","-1,571","38","1,242","3,514"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","518","-942","-5,718","69","-6,236","25","0","5,424"
"Reformulated","– –","–","– –","–","–","–","–","–","–","–","–"
"Conventional","– –","–","– –","–","-942","-5,718","69","-6,236","25","0","5,424"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","237,303","928","-599","3,633","-406","– –","398","241,273","9,091"
"Finished Motor Gasoline","– –","–","115,734","24","-4,810","4,038","-255","– –","9","115,232","2,292"
"Reformulated","– –","–","–","–","–","–","–","– –","–","–","–"
"Conventional","– –","–","115,734","24","-4,810","4,038","-255","– –","9","115,232","2,292"
"Finished Aviation Gasoline","– –","– –","70","10","–","– –","-3","– –","–","83","6"
"Kerosene-Type Jet Fuel","– –","– –","11,624","–","7,128","– –","10","– –","0","18,742","595"
"Kerosene","– –","– –","3","–","–","– –","1","– –","–","2","2"
"Distillate Fuel Oil","– –","– –","73,932","272","-2,917","-405","-258","– –","0","71,139","4,316"
"15 ppm sulfur and under","– –","– –","73,341","233","-2,917","-405","-144","– –","0","70,395","4,043"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","535","20","–","–","-53","– –","–","608","187"
"Greater than 500 ppm sulfur","– –","– –","56","19","–","– –","-61","– –","–","136","86"
"Residual Fuel Oil","– –","– –","4,516","163","–","– –","-13","– –","157","4,535","238"
"Less than 0.31 percent sulfur","– –","– –","2,308","–","–","– –","-29","– –","NA","NA","7"
"0.31 to 1.00 percent sulfur","– –","– –","375","163","–","– –","-29","– –","NA","NA","7"
"Greater than 1.00 percent sulfur","– –","– –","1,833","–","–","– –","45","– –","NA","NA","224"
"Petrochemical Feedstocks","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Naphtha for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Lubricants","– –","– –","–","–","–","– –","–","– –","134","-134","–"
"Waxes","– –","– –","–","–","–","– –","–","– –","5","-5","–"
"Petroleum Coke","– –","– –","8,955","–","–","– –","-17","– –","7","8,965","93"
"Marketable","– –","– –","6,071","–","–","– –","-17","– –","7","6,081","93"
"Catalyst","– –","– –","2,884","– –","– –","– –","– –","– –","– –","2,884","– –"
"Asphalt and Road Oil","– –","– –","12,436","444","–","– –","124","– –","86","12,670","1,531"
"Still Gas","– –","– –","8,720","– –","– –","– –","– –","– –","– –","8,720","– –"
"Miscellaneous Products","– –","– –","1,313","15","–","– –","5","– –","0","1,323","18"
"Total","402,398","5,121","241,891","124,407","-266,466","-8,206","3,636","232,585","6,457","256,467","41,743"
