"Table 29.  Exports of Crude Oil and Petroleum Products by PAD District,  2005",,,,,,,,,,
,,,      (Thousand Barrels),,,,,,,
Commodity,,,,PAD Districts,,,,,U.S. Totals,
,,,,1,2,3,4,5,Total,Daily Average
Crude Oila,,,,"3,236","7,415",562,405,1,"11,619",32
Natural Gas Liquids,,,,"1,044","4,967","8,006",609,"7,108","21,733",60
,Pentanes Plus,,,5,"1,541",1,423,424,"2,395",7
,Liquefied Petroleum Gases,,,"1,039","3,426","8,005",185,"6,684","19,338",53
,,Ethane/Ethylene,,0,0,0,0,0,0,0
,,Propane/Propylene,,206,544,"7,332",12,"5,589","13,683",37
,,Normal Butane/Butylene,,833,"2,882",673,173,"1,095","5,655",15
,,Isobutane/Isobutylene,,0,0,0,0,0,0,0
Other Liquids,,,,"2,057","1,322","18,577",13,"1,356","23,326",64
,Other Hydrocarbons/Oxygenates,,,"1,189","1,318","11,352",13,"1,309","15,181",42
,,Other Hydrocarbons/Hydrogen,,0,0,0,0,0,0,0
,,Oxygenates,,"1,189","1,318","11,352",13,"1,309","15,181",42
,, ,Fuel Ethanol (FE),0,0,0,0,0,0,0
,,,Methyl Tertiary Butyl Ether (MTBE),234,928,"10,251",0,21,"11,434",31
,,,Other Oxygenates,955,390,"1,101",13,"1,288","3,747",10
,Motor Gasoline Blend. Comp,,,868,4,"7,225",0,47,"8,145",22
,,Reformulated,,0,0,0,0,0,0,0
,,Conventional,,868,4,"7,225",0,47,"8,145",22
,Aviation Gasoline Blend. Comp.,,,0,0,0,0,0,0,0
Finished Petroleum Products,,,,"20,421","10,974","256,538",386,"80,193","368,513","1,010"
,Finished Motor Gasoline,,,"2,428",80,"43,573",1,"3,391","49,473",136
,,Reformulated,,422,2,"3,126",0,"1,144","4,694",13
,,Conventional,,"2,006",78,"40,447",1,"2,247","44,779",123
,Finished Aviation Gasoline,,,0,0,0,0,0,0,0
,Kerosene-Type Jet Fuel,,,"2,343",543,"8,672",6,"7,639","19,203",53
,Kerosene,,,18,8,717,0,42,785,2
,Distillate Fuel Oil,,,"1,127","3,199","38,811",1,"7,394","50,533",138
,,15 ppm sulfur and under,,0,0,0,0,0,0,0
,,Greater than 15 ppm to 500 ppm sulfur,,416,881,"10,299",1,"2,748","14,344",39
,,Greater than 500 ppm sulfur,,712,"2,318","28,513",0,"4,646","36,188",99
,Residual Fuel Oil,,,"6,979","1,308","64,141",27,"19,097","91,553",251
,Naphtha For Petro. Feed. Use,,,0,0,0,0,0,0,0
,Other Oils for Petro. Feed. Use,,,0,0,0,0,0,0,0
,Special Naphthas,,,83,3,"3,183",3,"4,370","7,641",21
,Lubricants,,,"1,451","1,479","10,451",156,"1,147","14,684",40
,Waxes,,,551,330,647,5,173,"1,705",5
,Petroleum Coke,,,"4,346","2,385","84,168",22,"35,899","126,819",347
,Asphalt and Road Oil,,,923,"1,628",327,166,898,"3,943",11
,Miscellaneous Products,,,173,11,"1,848",0,142,"2,175",6
Total,,,,"26,758","24,678","283,683","1,413","88,658","425,190","1,165"
