"Monthly average days of burn, January 2008 - March 2012",
number of days ,
Jan-08,58.5799853
Feb-08,61.61053283
Mar-08,63.34500456
Apr-08,61.32316185
May-08,58.42518244
Jun-08,54.07431769
Jul-08,51.24295796
Aug-08,54.94723296
Sep-08,59.50491095
Oct-08,61.13145293
Nov-08,61.88329313
Dec-08,61.51836669
Jan-09,59.93572364
Feb-09,67.74195281
Mar-09,72.63641953
Apr-09,71.83521519
May-09,70.08493825
Jun-09,69.39155724
Jul-09,72.30901855
Aug-09,77.12778679
Sep-09,80.17514436
Oct-09,77.49391988
Nov-09,75.85470539
Dec-09,70.5460822
Jan-10,73.49511104
Feb-10,75.46457011
Mar-10,76.77040245
Apr-10,75.22395982
May-10,70.83089873
Jun-10,65.71791308
Jul-10,63.81696438
Aug-10,65.41807232
Sep-10,67.52436822
Oct-10,68.54435308
Nov-10,67.74527497
Dec-10,65.18285186
Jan-11,67.33550051
Feb-11,71.73081562
Mar-11,72.98267768
Apr-11,69.9145205
May-11,64.12474798
Jun-11,59.51963453
Jul-11,55.97657434
Aug-11,58.97857328
Sep-11,68.20629632
Oct-11,68.10128298
Nov-11,65.60449357
Dec-11,67.48508484
Jan-12,87.07673711
Feb-12,94.83512547
Mar-12,91.35323945
