U.S. Coal Exports by Port ,,,,,,,
Short tons,,,,,,,
"2011 data is through August, the latest data available",,,,,,,
,"Norfolk, VA","Baltimore, MD","Mobile, AL","New Orleans, LA","Detroit, MI","Seattle, WA",Remaining USA
2000,21996749,6099070,6049908,1277270,1203822,1913,21860061
2001,17384466,4723442,4466107,1260370,760125,1514,20070014
2002,12134052,3637038,4040041,753999,427640,4823,18603648
2003,12948619,3067324,4225883,1183015,3358722,3182,18226763
2004,14437552,4739608,6495477,3049529,6298302,4783,12972644
2005,15066110,5019987,7316841,1876176,8633437,4167,12025493
2006,15018945,5899959,6230467,2218849,13697021,38064,6543964
2007,21586975,7881116,7384103,3916968,13211993,899,5181049
2008,29679949,10990192,8276658,8771678,16613505,30581,7156552
2009,27660569,6710622,7812519,4820360,6400423,365260,5327198
2010,32020375,13857299,9726942,9355362,6348698,3500204,6906795
2011*,27918671,12803988,6773906,13775347,1236394,3481451,4866499
