Monthly U.S. coal stockpile levels at electric power plants  ,,,,,,
million tons ,,,,,,
,2006,2007,2008,2009,2010,2011
Jan,105400657,136376784,146972684,156075239,178063440,165058584
Feb,105985589,133468410,142782006,160600799,171123231,161704531
Mar,112141358,141388690,146497086,174222814,177763336,166954106
Apr,125096612,149657373,154029273,185790344,189196336,174462636
May,133840760,154735171,159408415,195103402,191295290,175017649
Jun,135733732,154812135,152542197,195655837,181062004,165973743
Jul,127893696,145450041,142572230,193562749,169214790,148398284
Aug,123883988,140667746,139351847,191531706,159805076,139312194
Sep,126871541,142665524,143903317,197208096,162797502,
Oct,134941311,150075071,155658954,199476596,175146993,
Nov,140441542,154291963,163390189,203765023,182848261,
Dec,140964439,151221161,161588607,189466761,175160067,
