"U.S. gasoline exports: four-week average estimates from WPSR and monthly data from PSM,",,
June 2010 - December 2011 ,,
thousand barrels per day,,
,monthly data from PSM,four-week average estimates from WPSR
Jun-10,284,155
Jul-10,283,155
Aug-10,213,187
Sep-10,226,211
Oct-10,283,203
Nov-10,413,171
Dec-10,517,161
Jan-11,414,191
Feb-11,406,220
Mar-11,436,282
Apr-11,479,267
May-11,447,216
Jun-11,395,260
Jul-11,336,256
Aug-11,536,395
Sep-11,529,351
Oct-11,523,486
Nov-11,626,529
Dec-11,616,523
