year,hydro generation (million MWh),generation from other renewables (million MWh)
1990,292865846,64372226
1991,288994189,68779264
1992,253088003,73769822
1993,280494008,76213282
1994,260125733,76535143
1995,310832748,73965385
1996,347162063,75795604
1997,356453295,77182819
1998,323335661,77088406
1999,319536029,79423002
2000,275572597,80905974
2001,216961044,70768646
2002,264328833,79109172
2003,275806328,79486788
2004,268417308,83067324
2005,270321255,87329398
2006,289246416,96525493
2007,247509974,105237511
2008,254831385,126101004
2009,273445094,144278703
2010,257052000,168144000
