Month,2011,Max,Min,
Jan,0.483160433,0.5986583,0.494137652,
Feb,0.454693217,0.58204726,0.4815049,
Mar,0.435209953,0.57132262,0.448823881,
Apr,0.42414155,0.566813065,0.447331432,
May,0.43520385,0.566668166,0.434371423,
Jun,0.42815432,0.573390316,0.437024925,
Jul,0.423651597,0.578839799,0.43614493,2011 estimate
Aug,0.42531543,0.578224807,0.43982482,2011 estimate
Sep,0.446575486,0.567007148,0.431363764,2011 estimate
Oct,0.451606693,0.580300494,0.444779219,2011 estimate
Nov,0.46903759,0.579207665,0.456858915,2011 estimate
Dec,0.48262606,0.586148618,0.476185295,2011 estimate
